scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,framework,training_time_sec,inference_time_sec,num_parameters,flops,gpu_memory_mb,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM,status,error,runtime_seconds
DC_data,strict,SpectraLift,gaussian,3.4,15,4,3,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 3)",True,0.0,1.0,tensorflow,165.0310331779765,0.009836392942816019,33471,26155024641,286.3134765625,0.01542900345986978,36.177249411041785,0.9877236587591414,0.9794856864738162,3.5424114404533156,2.1193771362304688,success,,346.81520303792786
DC_data,strict,SpectraLift,gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 4)",True,0.0,1.0,tensorflow,151.38806248293258,0.008377986960113049,33535,26205323521,286.3134765625,0.011614106035344721,38.61481784872347,0.991160728275511,0.9785881365295771,3.390888775281527,1.810685157775879,success,,325.0773205650039
DC_data,strict,SpectraLift,gaussian,3.4,15,4,8,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 8)",True,0.0,1.0,tensorflow,152.6002984669758,0.008374740951694548,33791,26406519041,286.3134765625,0.007289041605642519,42.54912404834009,0.9948189812911428,0.9779646081010098,3.4122019092953177,1.2131386995315552,success,,319.66248781897593
DC_data,strict,SpectraLift,gaussian,3.4,15,8,3,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 3)",True,0.0,1.0,tensorflow,151.44941496790852,0.008370239986106753,33471,26155024641,286.3134765625,0.015144564538085973,36.33780355031149,0.9883695725313933,0.9793586703395836,3.7281792695918705,2.103940725326538,success,,318.7537175130565
DC_data,strict,SpectraLift,gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 4)",True,0.0,1.0,tensorflow,152.58979117998388,0.008096937090158463,33535,26205323521,286.3134765625,0.011995621195541477,38.337576709566655,0.9911605924375566,0.9780720374336312,3.950575022704671,1.8607184886932373,success,,319.9252381880069
DC_data,strict,SpectraLift,gaussian,3.4,15,8,8,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 8)",True,0.0,1.0,tensorflow,151.14227237505838,0.008082321030087769,33791,26406519041,286.3134765625,0.007404555123352192,42.41805586326748,0.9947788847375859,0.9773132805715196,3.42836400976129,1.2474812269210815,success,,319.34094888996333
DC_data,strict,SpectraLift,moffat,3.4,15,4,3,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 3)",True,0.0,1.0,tensorflow,151.91282287891954,0.008264118921943009,33471,26155024641,286.3134765625,0.013234166328550508,37.4942449058354,0.9906023379205603,0.980930226916429,2.928645384929526,1.8700072765350342,success,,320.3827866950305
DC_data,strict,SpectraLift,moffat,3.4,15,4,4,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 4)",True,0.0,1.0,tensorflow,151.7979556110222,0.008206792990677059,33535,26205323521,286.3134765625,0.010874117775670903,39.17732267911309,0.992078322035655,0.9808638664843815,2.765525225458283,1.6880420446395874,success,,318.92479359405115
DC_data,strict,SpectraLift,moffat,3.4,15,4,8,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 8)",True,0.0,1.0,tensorflow,152.1214275090024,0.008323451969772577,33791,26406519041,286.3134765625,0.006902711942191467,43.00656116331374,0.9953222120464852,0.9796923692845515,3.1214010493913786,1.1580296754837036,success,,319.117794426973
DC_data,strict,SpectraLift,moffat,3.4,15,8,3,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 3)",True,0.0,1.0,tensorflow,152.52571267599706,0.008129428024403751,33471,26155024641,286.3134765625,0.013996986225303208,37.01399616599606,0.990070025448544,0.9806576420154094,2.93438260204902,1.9554070234298706,success,,326.089616562007
DC_data,strict,SpectraLift,moffat,3.4,15,8,4,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 4)",True,0.0,1.0,tensorflow,152.4821725699585,0.008373677963390946,33535,26205323521,286.3134765625,0.01127396248109376,38.86880504943814,0.9918473009156711,0.9790657092478832,3.4439301486482914,1.7740058898925781,success,,323.1871988729108
DC_data,strict,SpectraLift,moffat,3.4,15,8,8,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 8)",True,0.0,1.0,tensorflow,152.643157133949,0.008385243942029774,33791,26406519041,286.3134765625,0.0072856809149366,42.55388684359688,0.994918894269928,0.977917257725034,3.347635609022724,1.2236511707305908,success,,323.6979239839129
