scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,framework,training_time_sec,inference_time_sec,num_parameters,flops,gpu_memory_mb,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM,status,error,runtime_seconds
DC_data,strict,SpectraMorph,gaussian,3.4,15,4,3,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 3)",False,0.0,1.0,tensorflow,590.6343761291355,0.6863730694167316,11271,9503737601,nan,0.015531398242247026,36.12047024999518,0.9878538977018834,0.975055817827992,2.842734031951204,2.1957297325134277,success,,769.944441167172
DC_data,strict,SpectraMorph,gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 4)",False,0.0,1.0,tensorflow,583.1960133886896,0.6593528348021209,12295,10308519681,nan,0.012534005602447641,37.959048643346996,0.9905699772960751,0.9749672046501849,2.8053265230442346,1.9478206634521484,success,,760.6497170249932
DC_data,strict,SpectraMorph,gaussian,3.4,15,4,8,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 8)",False,0.0,1.0,tensorflow,589.73921118211,0.6421466576866806,16391,13527648001,nan,0.0087911912785221,40.96627047859786,0.9933357223214355,0.9754045125514861,3.137500637576196,1.377160668373108,success,,767.3985935072415
DC_data,strict,SpectraMorph,gaussian,3.4,15,8,3,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 3)",False,0.0,1.0,tensorflow,179.5829389630817,0.7240382060408592,11271,9503737601,nan,0.01593298252371944,35.90217478184285,0.9875310819367055,0.9761432750062742,2.531232666863126,2.256178617477417,success,,357.1992776263505
DC_data,strict,SpectraMorph,gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 4)",False,0.0,1.0,tensorflow,179.72740668989718,0.7560335788875818,12295,10308519681,nan,0.012796954033041754,37.78245035499212,0.9906297568566846,0.9767910087718795,2.422991367408634,2.029130220413208,success,,357.99963643494993
DC_data,strict,SpectraMorph,gaussian,3.4,15,8,8,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 8)",False,0.0,1.0,tensorflow,180.00071432301775,0.66376136476174,16391,13527648001,nan,0.008969583928120533,40.800617968186934,0.9933125139148907,0.9762958319114536,2.774582659098742,1.4606198072433472,success,,359.10924983769655
DC_data,strict,SpectraMorph,moffat,3.4,15,4,3,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 3)",False,0.0,1.0,tensorflow,580.6002936549485,0.6526028546504676,11271,9503737601,nan,0.014564386599407115,36.6718655707566,0.9891757528046446,0.9776250867699484,2.8444332126947063,2.02992582321167,success,,760.412736853119
DC_data,strict,SpectraMorph,moffat,3.4,15,4,4,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 4)",False,0.0,1.0,tensorflow,568.9753495361656,0.6711378050968051,12295,10308519681,nan,0.011997522840198477,38.33216680231265,0.9910859475815496,0.9775720840985733,2.8503240799383067,1.8335214853286743,success,,747.3160394476727
DC_data,strict,SpectraMorph,moffat,3.4,15,4,8,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 8)",False,0.0,1.0,tensorflow,574.081227126997,0.6261234949342906,16391,13527648001,nan,0.008403017013919859,41.34675874731813,0.9934813145253575,0.9768824067903902,3.1063302928456773,1.3354883193969727,success,,752.4286072710529
DC_data,strict,SpectraMorph,moffat,3.4,15,8,3,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 3)",False,0.0,1.0,tensorflow,180.90723588177934,0.7123368219472468,11271,9503737601,nan,0.014908086053904892,36.47229383210729,0.988911156887881,0.9763897441000421,2.7864085017929385,2.0974433422088623,success,,358.051585520152
DC_data,strict,SpectraMorph,moffat,3.4,15,8,4,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 4)",False,0.0,1.0,tensorflow,181.59575432399288,0.7329146298579872,12295,10308519681,nan,0.01233579788138558,38.095083707164775,0.9910878804335114,0.9762856817877132,2.7807550138156873,1.9215203523635864,success,,361.3423025929369
DC_data,strict,SpectraMorph,moffat,3.4,15,8,8,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 8)",False,0.0,1.0,tensorflow,214.08304656809196,0.694641933310777,16391,13527648001,nan,0.008675237779408918,41.08145936505156,0.9933746112828947,0.9753929905788753,3.092862526661897,1.4187766313552856,success,,392.86991972941905
